Date,Time,Order,Payment,Card,CardType,Item,TotalPrice,Phone,Firstname,Lastname,Staff
2024-03-05,17:56:16,20240305006,card,3497-9717-6891-3400,americanexpress,Ayam Balado,15,,,,STAFF-06
2024-03-05,17:56:16,20240305006,card,3497-9717-6891-3400,americanexpress,Ayam Balado,15,,,,STAFF-06
2024-03-05,17:56:16,20240305006,card,3497-9717-6891-3400,americanexpress,Bun Cha,15,,,,STAFF-05
2024-03-06,12:30:27,20240306001,cash,,,Rinderrouladen,7.0,,,,STAFF-02
2024-03-06,12:30:27,20240306001,cash,,,Rinderrouladen,7.0,,,,STAFF-02
2024-03-06,13:24:08,20240306002,card,5100-1491-9212-0304,mastercard,Bun Cha,12,,,,STAFF-08
2024-03-06,13:24:08,20240306002,card,5100-1491-9212-0304,mastercard,Gudeg,12,,,,STAFF-07
2024-03-06,13:24:08,20240306002,card,5100-1491-9212-0304,mastercard,Gudeg,12,,,,STAFF-07
2024-03-06,13:24:08,20240306002,card,5100-1491-9212-0304,mastercard,Gudeg,12,,,,STAFF-07
2024-03-06,14:52:02,20240306003,card,5580-9476-7037-6028,mastercard,Palak Paneer,8,93344468,Gage,Whaymand,STAFF-11
2024-03-06,14:52:02,20240306003,card,5580-9476-7037-6028,mastercard,Palak Paneer,8,93344468,Gage,Whaymand,STAFF-12
2024-03-07,10:08:59,20240307001,cash,,,Rendang,12,,,,STAFF-09
2024-03-07,10:08:59,20240307001,cash,,,Rendang,12,,,,STAFF-09
2024-03-07,10:08:59,20240307001,cash,,,Rendang,12,,,,STAFF-09
2024-03-07,10:18:41,20240307002,card,3723-0124-5489-1920,americanexpress,Ayam Balado,4,,,,STAFF-10
2024-03-07,11:03:59,20240307003,card,3746-2243-5619-5890,americanexpress,Rendang,8,,,,STAFF-01
2024-03-07,11:03:59,20240307003,card,3746-2243-5619-5890,americanexpress,Rendang,8,,,,STAFF-01
2024-03-07,11:25:44,20240307004,cash,,,Rendang,4,,,,STAFF-03
2024-03-07,15:40:23,20240307005,card,5108-7557-3480-9949,mastercard,Gudeg,9,,,,STAFF-04
2024-03-07,15:40:23,20240307005,card,5108-7557-3480-9949,mastercard,Gudeg,9,,,,STAFF-04
2024-03-07,15:40:23,20240307005,card,5108-7557-3480-9949,mastercard,Gudeg,9,,,,STAFF-04
2024-03-07,15:41:29,20240307006,card,4041-5976-8082-0030,visa,Rinderrouladen,3.5,83187835,Rickey,Hector,STAFF-02
2024-03-08,10:34:41,20240308001,card,5100-1491-9212-0304,mastercard,Bun Cha,3,,,,STAFF-05
2024-03-08,12:22:29,20240308002,card,5100-1476-0010-6766,mastercard,Palak Paneer,14,87547836,Flynn,Massot,STAFF-06
2024-03-08,12:22:29,20240308002,card,5100-1476-0010-6766,mastercard,Palak Paneer,14,87547836,Flynn,Massot,STAFF-06
2024-03-08,12:22:29,20240308002,card,5100-1476-0010-6766,mastercard,Palak Paneer,14,87547836,Flynn,Massot,STAFF-06
2024-03-08,12:22:29,20240308002,card,5100-1476-0010-6766,mastercard,Palak Paneer,14,87547836,Flynn,Massot,STAFF-06
2024-03-08,13:53:02,20240308003,card,3746-2267-7977-3800,americanexpress,Gudeg,3,,,,STAFF-07
2024-03-08,14:44:13,20240308004,card,5100-1491-9212-0304,mastercard,Gudeg,9,,,,STAFF-09
2024-03-08,14:44:13,20240308004,card,5100-1491-9212-0304,mastercard,Gudeg,9,,,,STAFF-08
2024-03-08,14:44:13,20240308004,card,5100-1491-9212-0304,mastercard,Gudeg,9,,,,STAFF-08
2024-03-08,14:46:11,20240308005,card,5100-1491-9212-0304,mastercard,Rinderrouladen,10.5,97691181,Jecho,Sirkett,STAFF-11
2024-03-08,14:46:11,20240308005,card,5100-1491-9212-0304,mastercard,Rinderrouladen,10.5,97691181,Jecho,Sirkett,STAFF-11
2024-03-08,14:46:11,20240308005,card,5100-1491-9212-0304,mastercard,Rinderrouladen,10.5,97691181,Jecho,Sirkett,STAFF-11
2024-03-08,18:57:51,20240308006,card,5108-7563-7574-5509,mastercard,Rendang,8,87607692,Afton,Perch,STAFF-10
2024-03-08,18:57:51,20240308006,card,5108-7563-7574-5509,mastercard,Rendang,8,87607692,Afton,Perch,STAFF-10
2024-03-08,18:59:25,20240308007,card,5595-3741-1080-7194,mastercard,Rendang,8,,,,STAFF-12
2024-03-08,18:59:25,20240308007,card,5595-3741-1080-7194,mastercard,Rendang,8,,,,STAFF-12
2024-03-09,11:49:37,20240309001,cash,,,Ayam Balado,8,,,,STAFF-01
2024-03-09,11:49:37,20240309001,cash,,,Ayam Balado,8,,,,STAFF-01
2024-03-09,12:05:16,20240309002,card,3379-4133-9159-6820,americanexpress,Thunder Tea Rice,7.5,88828022,Hanson,Landal,STAFF-02
2024-03-09,12:05:16,20240309002,card,3379-4133-9159-6820,americanexpress,Thunder Tea Rice,7.5,88828022,Hanson,Landal,STAFF-02
2024-03-09,12:05:16,20240309002,card,3379-4133-9159-6820,americanexpress,Thunder Tea Rice,7.5,88828022,Hanson,Landal,STAFF-02
2024-03-09,12:07:38,20240309003,card,3732-7452-5728-0440,americanexpress,Gudeg,3,84566470,Roscoe,Slowgrave,STAFF-03
2024-03-09,12:09:48,20240309004,card,5100-1491-9212-0304,mastercard,Palak Paneer,8,97691181,Jecho,Sirkett,STAFF-06
2024-03-09,12:09:48,20240309004,card,5100-1491-9212-0304,mastercard,Palak Paneer,8,97691181,Jecho,Sirkett,STAFF-06
2024-03-09,12:13:04,20240309005,card,5002-3569-0363-0476,mastercard,Gudeg,18,,,,STAFF-04
2024-03-09,12:13:04,20240309005,card,5002-3569-0363-0476,mastercard,Gudeg,18,,,,STAFF-04
2024-03-09,12:13:04,20240309005,card,5002-3569-0363-0476,mastercard,Gudeg,18,,,,STAFF-04
2024-03-09,12:13:04,20240309005,card,5002-3569-0363-0476,mastercard,Gudeg,18,,,,STAFF-05
2024-03-09,12:13:04,20240309005,card,5002-3569-0363-0476,mastercard,Gudeg,18,,,,STAFF-05
2024-03-09,12:13:04,20240309005,card,5002-3569-0363-0476,mastercard,Gudeg,18,,,,STAFF-05
2024-03-09,13:09:22,20240309006,card,5100-1799-9452-2514,mastercard,Rendang,4,,,,STAFF-07
2024-03-09,13:41:06,20240309007,card,3379-4193-0309-6940,americanexpress,Rinderrouladen,3.5,93045837,Isaak,Greatbatch,STAFF-09
2024-03-09,13:53:10,20240309008,card,3379-4111-9036-1180,americanexpress,Bun Cha,22,82284578,Raquel,Pearch,STAFF-08
2024-03-09,13:53:10,20240309008,card,3379-4111-9036-1180,americanexpress,Bun Cha,22,82284578,Raquel,Pearch,STAFF-08
2024-03-09,13:53:10,20240309008,card,3379-4111-9036-1180,americanexpress,Bun Cha,22,82284578,Raquel,Pearch,STAFF-08
2024-03-09,13:53:10,20240309008,card,3379-4111-9036-1180,americanexpress,Bun Cha,22,82284578,Raquel,Pearch,STAFF-08
2024-03-09,13:53:10,20240309008,card,3379-4111-9036-1180,americanexpress,Palak Paneer,22,82284578,Raquel,Pearch,STAFF-11
2024-03-09,13:53:10,20240309008,card,3379-4111-9036-1180,americanexpress,Palak Paneer,22,82284578,Raquel,Pearch,STAFF-11
2024-03-09,13:53:10,20240309008,card,3379-4111-9036-1180,americanexpress,Palak Paneer,22,82284578,Raquel,Pearch,STAFF-11
2024-03-09,14:08:02,20240309009,card,3742-8376-7036-0310,americanexpress,Rinderrouladen,3.5,,,,STAFF-12
2024-03-09,14:26:53,20240309010,card,4133-3674-0586-2000,visa,Ayam Balado,4,96889998,Leonhard,Wycliffe,STAFF-10
2024-03-09,19:17:58,20240309011,card,3742-8376-7036-0310,americanexpress,Ayam Balado,16,,,,STAFF-01
2024-03-09,19:17:58,20240309011,card,3742-8376-7036-0310,americanexpress,Ayam Balado,16,,,,STAFF-01
2024-03-09,19:17:58,20240309011,card,3742-8376-7036-0310,americanexpress,Ayam Balado,16,,,,STAFF-01
2024-03-09,19:17:58,20240309011,card,3742-8376-7036-0310,americanexpress,Palak Paneer,16,,,,STAFF-03
2024-03-10,07:44:19,20240310001,cash,,,Gudeg,6,,,,STAFF-04
2024-03-10,07:44:19,20240310001,cash,,,Gudeg,6,,,,STAFF-04
2024-03-10,07:45:29,20240310002,cash,,,Rinderrouladen,7.0,,,,STAFF-02
2024-03-10,07:45:29,20240310002,cash,,,Rinderrouladen,7.0,,,,STAFF-02
2024-03-10,10:06:03,20240310003,cash,,,Rendang,12,,,,STAFF-05
2024-03-10,10:06:03,20240310003,cash,,,Rendang,12,,,,STAFF-05
2024-03-10,10:06:03,20240310003,cash,,,Rendang,12,,,,STAFF-05
2024-03-10,11:19:21,20240310004,card,4174-4875-8615-6250,visa,Thunder Tea Rice,2.5,,,,STAFF-06
2024-03-10,17:51:03,20240310005,cash,,,Rinderrouladen,3.5,,,,STAFF-07
2024-03-10,19:34:00,20240310006,card,4041-3789-4360-9000,visa,Bun Cha,10,92129218,Bentley,Agutter,STAFF-11
2024-03-10,19:34:00,20240310006,card,4041-3789-4360-9000,visa,Bun Cha,10,92129218,Bentley,Agutter,STAFF-11
2024-03-10,19:34:00,20240310006,card,4041-3789-4360-9000,visa,Rendang,10,92129218,Bentley,Agutter,STAFF-08
2024-03-11,10:18:47,20240311001,cash,,,Rendang,8,,,,STAFF-09
2024-03-11,10:18:47,20240311001,cash,,,Rendang,8,,,,STAFF-09
2024-03-11,11:24:15,20240311002,cash,,,Bun Cha,28,,,,STAFF-03
2024-03-11,11:24:15,20240311002,cash,,,Bun Cha,28,,,,STAFF-03
2024-03-11,11:24:15,20240311002,cash,,,Bun Cha,28,,,,STAFF-03
2024-03-11,11:24:15,20240311002,cash,,,Bun Cha,28,,,,STAFF-03
2024-03-11,11:24:15,20240311002,cash,,,Palak Paneer,28,,,,STAFF-12
2024-03-11,11:24:15,20240311002,cash,,,Palak Paneer,28,,,,STAFF-12
2024-03-11,11:24:15,20240311002,cash,,,Palak Paneer,28,,,,STAFF-12
2024-03-11,11:24:15,20240311002,cash,,,Palak Paneer,28,,,,STAFF-12
2024-03-11,11:26:44,20240311003,cash,,,Gudeg,6,,,,STAFF-10
2024-03-11,11:26:44,20240311003,cash,,,Gudeg,6,,,,STAFF-10
2024-03-11,11:32:59,20240311004,card,3746-2267-7977-3800,americanexpress,Palak Paneer,12,,,,STAFF-06
2024-03-11,11:32:59,20240311004,card,3746-2267-7977-3800,americanexpress,Palak Paneer,12,,,,STAFF-06
2024-03-11,11:32:59,20240311004,card,3746-2267-7977-3800,americanexpress,Palak Paneer,12,,,,STAFF-06
2024-03-11,16:24:26,20240311005,card,3723-0169-8744-2340,americanexpress,Gudeg,13,,,,STAFF-01
2024-03-11,16:24:26,20240311005,card,3723-0169-8744-2340,americanexpress,Gudeg,13,,,,STAFF-01
2024-03-11,16:24:26,20240311005,card,3723-0169-8744-2340,americanexpress,Gudeg,13,,,,STAFF-01
2024-03-11,16:24:26,20240311005,card,3723-0169-8744-2340,americanexpress,Rendang,13,,,,STAFF-04
2024-03-11,16:50:50,20240311006,card,5002-3535-6371-6844,mastercard,Bun Cha,3,,,,STAFF-05
2024-03-12,10:15:00,20240312001,cash,,,Bun Cha,10,,,,STAFF-11
2024-03-12,10:15:00,20240312001,cash,,,Gudeg,10,,,,STAFF-08
2024-03-12,10:15:00,20240312001,cash,,,Rendang,10,,,,STAFF-07
2024-03-12,11:20:46,20240312002,card,4017-9548-4025-2000,visa,Ayam Balado,4,,,,STAFF-09
2024-03-12,12:46:23,20240312003,card,3379-4110-3466-1310,americanexpress,Gudeg,11.5,87113774,Estell,Barwell,STAFF-10
2024-03-12,12:46:23,20240312003,card,3379-4110-3466-1310,americanexpress,Rinderrouladen,11.5,87113774,Estell,Barwell,STAFF-02
2024-03-12,12:46:23,20240312003,card,3379-4110-3466-1310,americanexpress,Rinderrouladen,11.5,87113774,Estell,Barwell,STAFF-02
2024-03-12,12:46:23,20240312003,card,3379-4110-3466-1310,americanexpress,Rinderrouladen,11.5,87113774,Estell,Barwell,STAFF-02
2024-03-12,16:15:43,20240312004,card,4041-3757-9743-1300,visa,Gudeg,3,,,,STAFF-12
2024-03-13,11:06:43,20240313001,card,5002-3535-6371-6844,mastercard,Ayam Balado,4,84022062,Spenser,Raitt,STAFF-01
2024-03-13,11:48:17,20240313002,card,3379-4110-3466-1310,americanexpress,Gudeg,9,87113774,Estell,Barwell,STAFF-03
2024-03-13,11:48:17,20240313002,card,3379-4110-3466-1310,americanexpress,Gudeg,9,87113774,Estell,Barwell,STAFF-03
2024-03-13,11:48:17,20240313002,card,3379-4110-3466-1310,americanexpress,Gudeg,9,87113774,Estell,Barwell,STAFF-03
2024-03-13,12:18:06,20240313003,card,5010-1254-1009-8745,mastercard,Gudeg,9,,,,STAFF-04
2024-03-13,12:18:06,20240313003,card,5010-1254-1009-8745,mastercard,Gudeg,9,,,,STAFF-05
2024-03-13,12:18:06,20240313003,card,5010-1254-1009-8745,mastercard,Gudeg,9,,,,STAFF-05
2024-03-13,12:34:30,20240313004,cash,,,Thunder Tea Rice,2.5,,,,STAFF-02
2024-03-13,14:26:41,20240313005,card,5100-1797-2040-5596,mastercard,Rinderrouladen,3.5,,,,STAFF-06
2024-03-13,15:40:22,20240313006,card,3496-4064-9957-2820,americanexpress,Thunder Tea Rice,5.0,89501162,Aylmar,Jarritt,STAFF-07
2024-03-13,15:40:22,20240313006,card,3496-4064-9957-2820,americanexpress,Thunder Tea Rice,5.0,89501162,Aylmar,Jarritt,STAFF-08
2024-03-13,16:47:09,20240313007,card,5002-3537-1118-7039,mastercard,Thunder Tea Rice,2.5,83796640,Justino,Lennie,STAFF-11
2024-03-14,10:02:12,20240314001,cash,,,Rendang,12,,,,STAFF-09
2024-03-14,10:02:12,20240314001,cash,,,Rendang,12,,,,STAFF-09
2024-03-14,10:02:12,20240314001,cash,,,Rendang,12,,,,STAFF-09
2024-03-14,10:28:33,20240314002,card,3467-8049-1629-5720,americanexpress,Ayam Balado,8,83955714,Winna,Yitzhok,STAFF-12
2024-03-14,10:28:33,20240314002,card,3467-8049-1629-5720,americanexpress,Rendang,8,83955714,Winna,Yitzhok,STAFF-10
2024-03-14,13:27:30,20240314003,card,5100-1491-9212-0304,mastercard,Bun Cha,9,97691181,Jecho,Sirkett,STAFF-03
2024-03-14,13:27:30,20240314003,card,5100-1491-9212-0304,mastercard,Gudeg,9,97691181,Jecho,Sirkett,STAFF-01
2024-03-14,13:27:30,20240314003,card,5100-1491-9212-0304,mastercard,Gudeg,9,97691181,Jecho,Sirkett,STAFF-01
2024-03-14,13:52:00,20240314004,card,3742-8891-3860-3410,americanexpress,Rinderrouladen,6.0,,,,STAFF-02
2024-03-14,13:52:00,20240314004,card,3742-8891-3860-3410,americanexpress,Thunder Tea Rice,6.0,,,,STAFF-06
2024-03-14,15:20:38,20240314005,card,3472-4498-2563-5180,americanexpress,Rendang,8,97047051,Shelly,Limrick,STAFF-04
2024-03-14,15:20:38,20240314005,card,3472-4498-2563-5180,americanexpress,Rendang,8,97047051,Shelly,Limrick,STAFF-04
2024-03-14,16:04:10,20240314006,card,5197-0833-2516-0701,mastercard,Rinderrouladen,3.5,84859600,Tallou,McFater,STAFF-05
2024-03-14,16:54:38,20240314007,card,4041-3757-9743-1300,visa,Thunder Tea Rice,2.5,,,,STAFF-07
2024-03-14,18:58:56,20240314008,card,4017-9500-6281-0000,visa,Ayam Balado,4,,,,STAFF-08
2024-03-14,19:00:09,20240314009,card,5100-1491-9212-0304,mastercard,Bun Cha,9,97691181,Jecho,Sirkett,STAFF-11
2024-03-14,19:00:09,20240314009,card,5100-1491-9212-0304,mastercard,Bun Cha,9,97691181,Jecho,Sirkett,STAFF-11
2024-03-14,19:00:09,20240314009,card,5100-1491-9212-0304,mastercard,Bun Cha,9,97691181,Jecho,Sirkett,STAFF-11
2024-03-15,10:02:17,20240315001,cash,,,Rendang,12,,,,STAFF-09
2024-03-15,10:02:17,20240315001,cash,,,Rendang,12,,,,STAFF-09
2024-03-15,10:02:17,20240315001,cash,,,Rendang,12,,,,STAFF-09
2024-03-15,10:53:02,20240315002,card,4101-1432-6249-3000,visa,Ayam Balado,12,,,,STAFF-10
2024-03-15,10:53:02,20240315002,card,4101-1432-6249-3000,visa,Ayam Balado,12,,,,STAFF-10
2024-03-15,10:53:02,20240315002,card,4101-1432-6249-3000,visa,Ayam Balado,12,,,,STAFF-10
2024-03-15,18:19:28,20240315003,card,5100-1491-9212-0304,mastercard,Gudeg,3,97691181,Jecho,Sirkett,STAFF-12
2024-03-16,12:06:55,20240316001,card,3723-0141-1548-4660,americanexpress,Gudeg,6.5,,,,STAFF-03
2024-03-16,12:06:55,20240316001,card,3723-0141-1548-4660,americanexpress,Rinderrouladen,6.5,,,,STAFF-01
2024-03-16,15:58:18,20240316002,card,3742-8376-7036-0310,americanexpress,Bun Cha,10,99218548,Georgeta,Tilston,STAFF-05
2024-03-16,15:58:18,20240316002,card,3742-8376-7036-0310,americanexpress,Bun Cha,10,99218548,Georgeta,Tilston,STAFF-06
2024-03-16,15:58:18,20240316002,card,3742-8376-7036-0310,americanexpress,Bun Cha,10,99218548,Georgeta,Tilston,STAFF-06
2024-03-16,15:58:18,20240316002,card,3742-8376-7036-0310,americanexpress,Bun Cha,10,99218548,Georgeta,Tilston,STAFF-07
2024-03-16,17:58:07,20240316003,card,5233-1007-9850-4441,mastercard,Rinderrouladen,7.0,,,,STAFF-02
2024-03-16,17:58:07,20240316003,card,5233-1007-9850-4441,mastercard,Rinderrouladen,7.0,,,,STAFF-02
2024-03-17,10:10:21,20240317001,cash,,,Rendang,4,,,,STAFF-04
2024-03-17,12:55:26,20240317002,card,3723-0112-0419-4620,americanexpress,Bun Cha,3,96641145,Giraud,Halwood,STAFF-08
2024-03-18,11:18:00,20240318001,card,4644-0676-1710-4230,visa,Bun Cha,3,92671592,Norma,Keppie,STAFF-11
2024-03-18,15:31:40,20240318002,card,3466-5960-1418-4580,americanexpress,Gudeg,22,88757769,Fonz,Buckell,STAFF-09
2024-03-18,15:31:40,20240318002,card,3466-5960-1418-4580,americanexpress,Gudeg,22,88757769,Fonz,Buckell,STAFF-09
2024-03-18,15:31:40,20240318002,card,3466-5960-1418-4580,americanexpress,Gudeg,22,88757769,Fonz,Buckell,STAFF-10
2024-03-18,15:31:40,20240318002,card,3466-5960-1418-4580,americanexpress,Gudeg,22,88757769,Fonz,Buckell,STAFF-10
2024-03-18,15:31:40,20240318002,card,3466-5960-1418-4580,americanexpress,Gudeg,22,88757769,Fonz,Buckell,STAFF-10
2024-03-18,15:31:40,20240318002,card,3466-5960-1418-4580,americanexpress,Gudeg,22,88757769,Fonz,Buckell,STAFF-12
2024-03-18,15:31:40,20240318002,card,3466-5960-1418-4580,americanexpress,Gudeg,22,88757769,Fonz,Buckell,STAFF-12
